,0
8041239,15
8053994,6
8055925,11
101380,44
8037510,6
8105262,2
8096796,36
8012158,9
8084473,12
10003400,5
8075130,45
8045896,35
8050764,6
8101456,9
8114488,17
3000487,6
8045078,1
8030528,17
10005585,35
20020565,44
10006483,6
8000101,12
10003777,6
1111115,6
8110429,17
10753,9
8046921,47
8089545,12
8104340,9
10697,26
8074337,12
8077242,18
20008605,17
8110213,6
8058858,6
106387,9
8005305,6
11300970,0
20001501,17
8057497,37
8021418,12
8076309,14
20005073,9
8022515,44
8099138,6
11300087,1
8074187,14
8091505,24
8021990,23
11307704,44
2104849,3
107218,6
8006489,39
2105468,27
3002117,20
2103620,44
8015228,38
10006126,1
8030243,6
3000800,12
11307451,1
8061995,17
8031497,30
8050709,13
10001686,9
1111163,13
11120860,6
8083636,0
11306410,6
3000707,1
8082818,6
9000225,6
11303633,6
10000553,12
8043502,8
8009605,44
8000335,32
10003533,19
8092212,6
8007772,6
8051900,0
11307442,39
8021756,2
8097979,6
8066900,6
8009807,6
8040642,34
10003693,6
8005674,6
8010103,17
100828,27
1111852,16
8052059,20
8080658,26
10000335,9
20011063,44
8011844,17
8011409,6
10001352,6
11308472,23
10534,1
8089802,8
8011764,45
8054865,6
8011679,1
100364,12
8080698,17
8107725,9
8102822,6
103836,18
8045999,21
2104976,12
8020089,30
8050786,6
8057463,6
8091209,22
8108511,9
8082134,47
8006114,10
8100702,24
8115676,17
10000011,6
2103080,12
8023594,22
8022534,9
8052318,6
8108068,41
8113091,5
1111549,11
20021306,6
8065620,30
8078462,6
10003967,30
8094834,6
8083629,39
10003674,6
8055067,12
8051086,17
8050137,6
8060820,6
8016684,6
8087481,22
9000471,20
8021508,48
8023572,11
8075843,26
8040796,36
20011067,1
10002573,48
8055125,9
8106468,6
8102645,5
11309401,30
10340,14
10003064,6
8113285,6
8057878,6
8062209,15
8039579,1
8091093,12
8080902,6
8017264,25
8060338,14
10002677,6
8074521,23
2100960,10
8093892,38
107062,20
9000830,6
8115578,24
8079588,34
8015819,6
8099216,24
8015751,3
8071820,28
10006200,17
8101323,6
100578,3
8062097,9
8010933,12
8034321,29
8059503,12
8082338,14
20010654,23
502451090,24
8015920,6
2102143,6
10001981,1
2103184,10
12000235,7
8001227,43
8040258,6
8000298,15
8042951,12
8032825,41
8089792,0
2102644,24
8015297,3
8036664,6
8071777,18
7002664,6
8009405,6
8084828,2
8088659,47
20020173,12
8079619,27
8033910,14
8005988,45
8050742,9
8018542,6
13000389,6
11306766,6
8098465,12
8065601,6
20009749,1
8081321,43
8101949,30
20008920,38
8041607,36
8057618,6
8052552,45
8064756,23
8059898,20
8092150,46
10169,24
20012177,28
8016568,12
8044462,25
2104342,6
20005148,14
11303095,12
8003650,5
8019410,10
2104452,11
8098941,32
8054465,19
8032976,35
8099363,12
8062940,11
11301611,6
8085857,6
8007895,38
10005700,6
10005446,6
8043585,3
8091398,12
8052756,17
20001579,12
8031879,12
8093003,48
8108374,3
8058540,6
8098725,6
8079205,6
8051310,33
8091188,44
8062208,30
8056126,0
8041563,9
8015489,39
3001239,23
20012376,24
8075187,22
106945,12
8069009,24
11300433,6
8022003,46
8115880,23
8031123,46
101125,12
8050735,6
8060800,13
8040908,6
10764,6
8084396,6
8098117,12
11120820,9
8068743,12
8106287,6
8077721,43
8053852,6
8043865,6
12000199,6
8107450,29
8111578,33
8089699,6
8095356,1
8032038,6
8096669,41
8032893,47
8062792,26
8096866,17
8084641,5
8086421,17
10004271,18
8087846,28
11306103,6
8064864,17
8012234,6
8058135,12
8106010,6
101217,44
20001269,6
10006908,6
8089834,1
8098445,1
8000582,33
8115558,26
102563,23
8000769,43
8010371,17
20009968,12
8056033,6
9000177,27
8030987,23
20006313,12
11300341,6
8055538,35
8017807,13
8031621,48
8111602,6
8043564,35
8022093,1
8006693,18
8084826,36
8115959,12
8113064,6
8016369,6
8073247,12
8035433,22
8075309,6
8058722,13
8079378,24
8054397,33
105603,12
8116730,6
8073137,48
8110530,6
11106,48
8082045,12
8016294,12
13000656,17
8074220,22
8009531,47
8059162,6
8037152,6
8067418,6
2101752,6
8003928,3
8050919,48
8110924,6
8051016,17
8079030,19
8081816,12
8117523,6
8085479,26
8048699,1
20011226,24
8059360,6
10332,6
8047462,18
10005853,39
8046440,6
11308127,6
2105257,6
7003064,12
8001534,38
10005865,12
8102171,6
11309460,39
20008448,6
8033506,43
10005365,12
10495,17
8061035,30
8017436,30
8115028,6
8045509,6
8103957,6
20006219,11
8095767,29
7003385,8
20021826,6
9000199,25
3000726,17
11301339,6
8115363,6
8117106,17
8041378,6
20011183,12
13000686,6
103602,10
20021681,4
8064452,12
11301400,6
8036895,24
12000684,6
8085451,38
20009295,44
8008005,6
1111648,6
8090742,28
8042777,20
8002357,22
8047297,41
8030832,18
2104008,26
20010388,12
8015488,9
107242,7
11305206,24
8094124,39
8090267,12
2105491,23
7000903,32
1111117,12
8087373,1
8088702,6
8042631,44
8038080,34
8072508,27
103404,24
8008413,12
8040486,18
10730,6
7000336,12
8062427,20
8069736,3
8052329,6
8090920,30
8014952,6
8006298,10
10609,19
10003295,6
9000010,28
10528,9
11304462,6
11304278,6
8021410,22
8063921,6
8102559,24
107117,46
7003357,3
8095260,20
20008554,48
8095089,12
11303760,6
8065887,6
10005704,31
20008194,1
8021146,38
8094000,46
8006217,22
7003812,0
8090938,3
8011799,12
8063715,6
8073492,18
8000881,25
8067111,44
8082462,1
8002178,17
8060579,6
2100547,6
8094639,6
11308471,46
7000897,12
8019021,38
8106606,6
8045329,44
8078814,6
8063081,12
8090811,27
8053899,6
7000374,45
8016671,12
8042489,12
11300788,38
8031450,6
8092033,48
12000416,45
8116946,6
2105391,21
8117765,18
8073225,34
20005693,12
8013896,6
20007540,18
8091809,12
8112957,6
8044565,34
11306095,20
8006828,3
8078681,22
8010012,12
8004464,47
20000362,17
8085280,6
8074538,14
8082150,9
3000700,6
2101885,6
8065403,8
8064410,30
20010160,6
8099577,6
8047836,6
8032873,10
8053056,12
8115403,9
8058124,38
105841,44
8091897,6
8068440,23
8041338,18
8042005,12
11301734,9
8044506,6
2101776,35
8111073,17
8092895,17
8002193,6
8063292,12
8002512,12
8037084,18
11305042,25
10001775,34
8089801,3
8057840,12
8108436,6
8088540,9
10002884,12
8012223,6
8075915,12
8076351,27
11305078,20
